title,link,summary,published,source_category,rss_category,rss_tags,source
Air strike kills senior Hamas official in Gaza,https://www.bbc.com/news/articles/cq5zxe5l58go,"Salah al-Bardaweel and his wife died in the southern city of Khan Younis, a Hamas source told the BBC.","Sun, 23 Mar 2025 05:49:01 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Pope Francis to be discharged from hospital,https://www.bbc.com/news/articles/crrdv84rg4do,"The Pope's doctor said his life ""was in danger"" during his five weeks in hospital.","Sat, 22 Mar 2025 18:42:22 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Trump envoy dismisses Starmer plan for Ukraine,https://www.bbc.com/news/articles/c62zm4eqvp7o,"Steve Witkoff says the UK plans for an international force to support a ceasefire are a ""posture"".","Sun, 23 Mar 2025 00:01:17 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
"Earrings worth $769,500 recovered by Florida police after alleged thief swallows them",https://www.bbc.com/news/articles/crrdvy4pvpeo,"The man allegedly swallowed two pairs of earrings worth $769,500 (£597,000) hoping to avoid being charged with theft.","Sat, 22 Mar 2025 23:09:25 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Israel strikes Lebanon after first rocket attack since ceasefire,https://www.bbc.com/news/articles/cn4ynpzk8d8o,"Lebanon's health ministry says seven people, including a child, were killed and 40 injured.","Sat, 22 Mar 2025 21:20:42 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
"Protesters call for 'rights, justice' after Istanbul mayor's arrest",https://www.bbc.com/news/articles/c0egjvj8vdro,Prosecutors request Istanbul Mayor Ekrem Imamoglu's formal arrest on terrorism and corruption charges.,"Sun, 23 Mar 2025 01:00:15 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
'Wonderful teenagers helped my son on Halloween': Readers recall kindness of strangers,https://www.bbc.com/news/articles/ckg14rxnw8jo,BBC News told of kind acts following UN report that found strangers' helpfulness was underestimated.,"Sun, 23 Mar 2025 02:05:57 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
"Trump revokes security clearance for Harris, Clinton, and critics",https://www.bbc.com/news/articles/c74kg3e2m08o,"The US president also confirmed he was revoking the security clearance of Joe Biden and ""any other member"" of the Biden family.","Sat, 22 Mar 2025 15:34:25 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Heavyweight boxing legend George Foreman dies aged 76,https://www.bbc.com/news/articles/ckg8ez8201yo,Foreman won his first world heavyweight championship in 1973 and lost it a year later to Muhammad Ali in the famous Rumble in the Jungle fight.,"Sat, 22 Mar 2025 08:06:34 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
"Trump revokes status of 530,000 Latin Americans",https://www.bbc.com/news/articles/c33706jy774o,"Certain migrants from Cuba, Haiti, Nicaragua and Venezuela will lose their deportation shield.","Sat, 22 Mar 2025 14:05:41 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
At least two dead as wildfires rage in South Korea,https://www.bbc.com/news/articles/cdx2801qegvo,Two people were found dead as multiple fires raged across the country on Saturday.,"Sat, 22 Mar 2025 19:14:39 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Will recapture of presidential palace change course of Sudan war?,https://www.bbc.com/news/articles/c5y06pygdj7o,"Sudan's army has retaken the presidential palace from the Rapid Support Forces (RSF), but what's next after two years of war?","Fri, 21 Mar 2025 22:22:54 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Israel orders army to 'seize additional territories' in Gaza,https://www.bbc.com/news/articles/clyj5vq4wnwo,The defence minister says the IDF will increase the intensity of its operation in Gaza until Hamas releases hostages.,"Fri, 21 Mar 2025 17:00:54 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
"Canada can win trade war with US, foreign affairs minister Mélanie Joly says",https://www.bbc.com/news/articles/cg70mknye9lo,Canada is among the countries waiting to see what Trump's 2 April reciprocal tariffs look like.,"Sat, 22 Mar 2025 19:00:36 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
'We will rescue anyone': BBC accompanies Syria's White Helmets after deadly attacks,https://www.bbc.com/news/articles/cdrxmr64lp2o,The BBC accompanies the civil defence group as they respond to violence in Syria's coastal region.,"Fri, 21 Mar 2025 16:33:21 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Israel's Supreme Court freezes PM's order to sack security chief,https://www.bbc.com/news/articles/cwygkknzn9yo,Benjamin Netanyahu cited Shin Bet's failure to anticipate the 7 October attack - but the move sparked outrage and protests.,"Fri, 21 Mar 2025 13:02:45 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
A life spent waiting - and searching rows of unclaimed bodies,https://www.bbc.com/news/articles/c15qyyzz89lo,Women across generations in Pakistan's Balochistan are demanding answers about the missing men in their lives.,"Sun, 23 Mar 2025 00:32:44 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
The man with a mind-reading chip in his brain - thanks to Elon Musk,https://www.bbc.com/news/articles/cewk49j7j1po,Noland Arbaugh tells the BBC how being the first Neuralink patient has changed his life.,"Sun, 23 Mar 2025 01:04:10 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Are Nigerians abroad widening the class divide back home?,https://www.bbc.com/news/articles/cvg1p5ek72vo,Some locals find they cannot compete with those holidaying from the diaspora who are nicknamed I Just Got Back.,"Sun, 23 Mar 2025 02:21:11 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
'My husband is a fighter pilot in Ukraine. Here's how I really feel about a ceasefire',https://www.bbc.com/news/articles/c70wgq7y11qo,"Maria, whose husband Ivan has been risking his life since the first day of the war, is cautiously hoping for a truce.","Sun, 23 Mar 2025 01:54:53 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Fear and anger mount as 'battle for the soul of Romanian democracy' looms,https://www.bbc.com/news/articles/c4g7w3v5vw7o,Their last vote was cancelled due to alleged Russian meddling. Now Romanians fear what might happen in May.,"Sun, 23 Mar 2025 02:13:56 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Moment police chase ends in four car pile-up in Paris,https://www.bbc.com/news/videos/c89ynj20p9po,Thirteen people - 10 of them police officers - have been injured after a car chase in the French capital.,"Sat, 22 Mar 2025 15:55:21 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
'It was like I was mugged' - Foreman reflects on Rumble in the Jungle,https://www.bbc.com/news/videos/cjevjnejdg9o,"The heavyweight champion, who has died at the age of 76, says ""he went with two titles belts and came home with none.""","Sat, 22 Mar 2025 07:38:30 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Prince William rides in tank during Estonia visit,https://www.bbc.com/news/videos/c3vw0dx5el0o,The Prince of Wales has visited troops at a strategically important army base on Russia's border,"Fri, 21 Mar 2025 19:00:47 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Powerful dust storm causes vehicle pileup in New Mexico,https://www.bbc.com/news/videos/cgq9pqg1w99o,"A dust storm swept through central New Mexico on Tuesday, causing crashes and poor visibility.","Wed, 19 Mar 2025 10:40:15 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
Watch: Dolphins greet capsule as Nasa astronauts return to Earth,https://www.bbc.com/news/videos/cp3yp8v0z4no,"Suni Williams and Butch Wilmore have landed near Tallahassee, Florida after a 286-day mission at the International Space Station.","Tue, 18 Mar 2025 22:10:12 GMT",General News,,[],http://feeds.bbci.co.uk/news/world/rss.xml
How Scammers Launder Money and Get Away With It,https://www.nytimes.com/2025/03/23/world/asia/cambodia-money-laundering-huione.html,Documents and insiders reveal how one of the world's major money laundering networks operates.,"Sun, 23 Mar 2025 06:21:33 +0000",General News,Frauds and Swindling,"['Frauds and Swindling', 'Money Laundering', 'Banking and Financial Institutions', 'Robberies and Thefts', 'Telegram LLC', 'Tether Operations Ltd', 'Cambodia', 'Huione', 'Interpol (International Criminal Police Organization)', 'audio-neutral-immersive', 'audio-neutral-suspenseful']",https://rss.nytimes.com/services/xml/rss/nyt/World.xml
